ID	Target	Tweet	Stance
50	Abortion	RT @br_holden : Religions are perfectly happy to peddle an afterlife that doesn ' t actually exist . #freethinker #SemST	FAVOR
51	Abortion	RT @br_holden : Superstition - based thoughts tend to be wasted thoughts . #freethinker #SemST	AGAINST
52	Abortion	RT @br_holden : Just say no to superstitious thought in general and religions in particular . #freethinker #SemST	FAVOR
53	Abortion	RT @br_holden : Atheists have every right to exist in the public sphere . #freethinker #SemST	FAVOR
54	Abortion	RT @GMHumanistChoir : We ' re currently looking for new members to join our choir , all welcome , no auditions . #87RT #choir #Manchest . <repeated> #SemST	NONE
55	Abortion	@Rowdman53 Atheist are offended with Christian Symbols + Only when when forced where they don ' t belong . #SemST	FAVOR
56	Abortion	Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking , honest , open it is truth we find . #SemST	AGAINST
57	Abortion	Your word has given me life - Ps . <number> <time> - <number> #SemST	AGAINST
58	Abortion	God gives us the right to do what we want ; as long as we understand the outcomes of our actions . #spiritual #SemST	AGAINST
59	Abortion	The deeper I go with in - The deeper ~ > the silence - the peace - the healing - the clarity - the vision - the belief - The deeper my #SemST	AGAINST
60	Abortion	RT @faithsns716 : Psalm103 : <number> - Who forgives all your iniquities ; who heals all your diseases #SemST	AGAINST
61	Abortion	James <time> ( #KJV ) But every man is <allcaps> TEMPTED </allcaps> , when he is drawn away of his own <allcaps> LUST </allcaps> , and enticed . #God #Lord #Christ #Holy #Spirit #SemST	AGAINST
62	Abortion	We are human . It is human nature to eat and drink ourselves destitute , fuck each other raw , and kill each other . #SemST	NONE
63	Abortion	RT @ACatholicPrayer : Holy Trinity , one God , Have #mercy on us . #Catholic #SemST	AGAINST
64	Abortion	@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore . <repeated> Your child is . #SemST	FAVOR
65	Abortion	Is near where we will be told not <number> preach in The Name Acts <time> There is salvation in no <number> httpaddr #DCM2015 but #SemST	AGAINST
66	Abortion	What really builds a relationship is when we relate to what we don ' t understand about God . #Emunah #SemST	AGAINST
67	Abortion	I am human . I look forward to the extinction of humanity with eager anticipation . We deserve nothing less . #SemST	NONE
68	Abortion	Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST	AGAINST
69	Abortion	By faith we receive what Christ did for us and we repent to show that we have received what He did . #repentance #atonement #SemST	NONE
70	Abortion	Let Your fear come upon every soul in my city - Acts <time> #SemST	AGAINST
71	Abortion	Absolutely fucking sick & tired of the religious and their " We ' re persecuted " bollocks ! So fucking what ? Pissoff ! #SemST	FAVOR
72	Abortion	In other related news . Boko Haram has killed over <number> people in the last 4 8 hrs . #SemST	NONE
73	Abortion	Join me on #Periscope M - F @ <time> ! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST	NONE
74	Abortion	Praise and thank God for everything in your life today . #grateful #SemST	AGAINST
75	Abortion	If Jesus is present , it is impossible for your situation / environment to remain a desolate place ! #Joy #Victory #NewThings #SonTalk #SemST	AGAINST
76	Abortion	Heaven and earth will pass away , but My words will not pass away . Matthew <time> #Tworship #SemST	AGAINST
77	Abortion	#KCA #VoteJKT48ID premierdigi : Are Facebook and Twitter good places to defend your faith ? How do you communicate ? #christianity #d . <repeated> #SemST	AGAINST
78	Abortion	@CrownFmradio899 however impossible it may sound , I really would have loved to be like the lord #HaveYourSay #SemST	FAVOR
79	Abortion	Imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #SemST	FAVOR
80	Abortion	Job said " The thing I greatly feared has come upon me and that which I was afraid of has happened to me " Job <time> fear opens doors #SemST	AGAINST
81	Abortion	Jesus , you are my helper . Help me to rest and trust in you and your finished work at the Cross . Amen . #SemST	AGAINST
82	Abortion	The Lord is pleased w / every effort , even tiny , daily ones in which we strive to be more like Him . ~ Ezra Taft Benson #lds #inspiration #SemST	AGAINST
83	Abortion	I don ' t believe in the hereafter . I believe in the here and now . #SemST	FAVOR
84	Abortion	If you want to live as a healer , you must be willing to change places with those who are hurting . #God #SemST	AGAINST
85	Abortion	Heb <time> this man , after he had offered one sacrifice for sins for ever , sat down on the right hand of God ; #bible #SemST	AGAINST
86	Abortion	Sometimes it ' s the broken heart that finds the truest path to love . #SemST	AGAINST
87	Abortion	Religious moderation is the product of secular knowledge and scriptural ignorance . - @SamHarrisOrg #SemST	FAVOR
88	Abortion	Remember , #God has it all worked out . #SemST	AGAINST
89	Abortion	What we are is what we define the world to be . #existentialism #spirituality #SemST	AGAINST
90	Abortion	I ' m making it happen tho S / O to <allcaps> GOD </allcaps> . #Patience #Priorities #SemST	NONE
91	Abortion	Yeah I think maybe words just stopped mattering #SemST	NONE
92	Abortion	Keep flowinz az da windz ~ blend , bend and never break ! #SemST	NONE
93	Abortion	May the Gods grant me many more freelance gigs in <allcaps> PDX </allcaps> #intention #SemST	AGAINST
94	Abortion	@vicgreenaway so , why doesn ' t a hot air balloon pilot look down to horizon as he rises , rather than horizon being <allcaps> ALWAYS </allcaps> eye level ? #SemST	NONE
95	Abortion	@narendramodi @PMOIndia y politicians in d office can offer iftikar parties . <repeated> It is waste of tax payer money . #SemST	NONE
96	Abortion	he better chill with them retweets #SemST	NONE
97	Abortion	I want to give the world a hug . A huge , huge hug . #human #4thofJuly #everyone #planetearth #SemST	NONE
98	Abortion	My son , be wise , and make my heart glad , that I may answer him that reproacheth me . Proverbs <time> #SemST	AGAINST
99	Abortion	Had a great time @ worship httpaddr wait till Sunday ! #bridgechurch2015 #bridgelaunchteam #Willacycounty #weloveyou #SemST	FAVOR
